Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=5)",0.8299632352941176,0.8279924097187885,0.7774534146124551,0.8264494963341524,0.9486209062319311,0.8299632352941176
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8274816176470589,0.825108625546665,0.7740405754822479,0.8234787929435489,0.9500617770857811,0.8274816176470589
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=10)",0.8270772058823529,0.8251192878166348,0.773601572519978,0.8236292136251228,0.9455067379380497,0.8270772058823529
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8253492647058823,0.8229829248903893,0.7711698578896609,0.8213758963212351,0.9478785722744884,0.8253492647058823
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.8328676470588235,0.8303870460080548,0.781077126771454,0.8290644602616652,0.9693275056400882,0.8328676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8300735294117647,0.8273384920500206,0.7772372463644242,0.8258969848592079,0.9655419959739004,0.8300735294117647
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=10)",0.8299632352941176,0.8279924097187885,0.7774534146124551,0.8264494963341524,0.9486209062319311,0.8299632352941176
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8274816176470589,0.825108625546665,0.7740405754822479,0.8234787929435489,0.9500617770857811,0.8274816176470589
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=5)",0.8295404411764706,0.8273870768266364,0.7766212801775606,0.8259583127923211,0.9602736639875794,0.8295404411764706
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8269117647058823,0.8245306213815413,0.7730785909565218,0.8230028570551138,0.9602115637133407,0.8269117647058823
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=5)",0.8299632352941176,0.8274693028243431,0.7773906580004217,0.8277414006690057,0.9695081561746917,0.8299632352941176
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8276470588235294,0.8249578867338093,0.7741998261478458,0.8251798345707044,0.9660786768112318,0.8276470588235294
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=5)",0.8301286764705882,0.8279918980351121,0.7774264662674273,0.8265328292466336,0.9612852553205742,0.8301286764705882
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8274632352941177,0.8250925863639065,0.7738443789267526,0.8235580440370314,0.960866917791915,0.8274632352941177
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=10)",0.8295404411764706,0.8273870768266364,0.7766212801775606,0.8259583127923211,0.9602736639875794,0.8295404411764706
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8269117647058823,0.8245306213815413,0.7730785909565218,0.8230028570551138,0.9602115637133407,0.8269117647058823
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.8299632352941176,0.8274693028243431,0.7773906580004217,0.8277414006690057,0.9695081561746917,0.8299632352941176
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8276470588235294,0.8249578867338093,0.7741998261478458,0.8251798345707044,0.9660786768112318,0.8276470588235294
